제품명,알러지 성분,중량(g),열량(kcal),단백질(g),나트륨(mg),당류(g),포화지방(g),카페인(mg)(고카페인함유),원산지
패밀리팩 - 사이다,"밀, 대두, 난류, 우유, 쇠고기, 토마토, 돼지고기, 닭고기, 조개류, 오징어",2043,2790,84(153),3526(176),167,36.2(241),,"쇠고기-호주산, 베이컨 - 돼지고기 외국산, 오징어링 중국산"
제로슈거콜라,-,420,0,0(0%),56(3%),0,0.0(0%),,
제로슈거콜라(L),-,570,0,0(0%),77(4%),0,0.0(0%),,
콜라,-,420,127,0(0%),15(1%),31,0.0(0%),,
콜라(L),-,570,173,0(0%),20(1%),42,0.0(0%),,
사이다,-,420,133,0(1%),7(0%),31,0.0(0%),,
사이다(L),-,570,182,0(1%),9(0%),42,0.0(0%),,
레몬에이드,대두,310,151,0(0%),20(1%),34,0.0(0%),,
레몬에이드(L),대두,467,217,0(0%),29(1%),49,0.0(0%),,
미숫가루라떼 R,"우유, 대두",310,238,7(13%),91(5%),29,5.7(38%),,
미숫가루라떼 L,"우유, 대두",470,339,11(19%),131(7%),40,8.2(55%),,
복숭아홍차에이드 R,복숭아,320,160,0(0),10(1),38,0(0),,
복숭아홍차에이드 L,복숭아,470,224,0(0),10(1),53,0(0),,
자두쿨에이드 R,"대두, 우유",320,162,0(0),20(1),36,0.1(1),,
자두쿨에이드 L,"대두, 우유",470,226,0(0),25(1),51,0.1(1),,
아이스티,복숭아,310,160,0(0%),0(0%),39,0.0(0%),,
아이스티(L),복숭아,467,232,0(0%),0(0%),57,0.0(0%),,
캐모마일 티,,241,2,0(0),0(0),0,0(0),,
애플 캐모마일 티,,291,129,0(0),10(1),27,0(0),,
아메리카노,-,290,34,1(2%),2(0%),0,0.5(3%),106,
카페라떼,우유,300,206,11(20%),105(5%),12,5.6(37%),115,
아이스아메리카노,-,310,32,1(2%),2(0%),0,0.5(3%),86,
아이스아메리카노(L),-,530,55,2(3%),3(0%),0,0.8(6%),115,
아이스카페라떼,우유,295,106,5(9%),40(2%),5,2.1(14%),106,
